ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	585	290.0	122.5	0	585	18
1	586	417.0	122.0	0	586	16
1	587	199.0	123.0	0	587	17
1	588	435.5	123.0	0	588	19
1	589	255.0	124.0	0	589	18
1	590	257.5	124.0	0	590	18
1	591	268.5	124.0	0	591	18
1	592	289.0	124.0	0	592	18
1	593	431.5	124.0	0	593	19
1	594	443.5	124.0	0	594	19
1	595	154.5	125.0	0	595	0
1	596	178.5	125.0	0	596	20
1	597	184.66666666666666	124.66666666666667	0	597	20
1	598	271.0	125.0	0	598	18
1	599	155.5	126.5	0	599	0
1	600	193.0	126.0	0	600	20
1	601	262.0	126.0	0	601	18
1	602	267.0	126.33333333333333	0	602	18
1	603	442.0	126.0	0	603	19
1	604	451.3333333333333	126.33333333333333	0	604	19
1	605	454.0	126.0	0	605	19
1	606	271.0	127.0	0	606	18
1	607	274.75	127.25	0	607	18
1	608	277.0	127.0	0	608	18
1	609	291.5	127.0	0	609	18
1	610	458.5	128.0	0	610	19
1	611	220.5	129.0	0	611	22
1	612	258.5	129.0	0	612	18
1	613	266.5	129.0	0	613	18
1	614	257.0	130.0	0	614	18
1	615	452.0	130.0	0	615	19
1	616	455.0	130.0	0	616	19
1	617	180.0	131.0	0	617	20
1	618	260.5	131.0	0	618	18
1	619	450.0	131.5	0	619	19
1	620	181.75	133.0	0	620	20
1	621	204.5	132.0	0	621	22
1	622	263.5	132.0	0	622	18
1	623	446.0	132.5	0	623	19
1	624	181.0	134.0	0	624	20
1	625	186.5	134.5	0	625	20
1	626	281.0	134.0	0	626	18
1	627	196.33333333333334	134.66666666666666	0	627	22
1	628	422.0	135.0	0	628	21
1	629	208.0	136.0	0	629	22
1	630	237.0	136.0	0	630	24
1	631	260.3333333333333	137.33333333333334	0	631	24
1	632	415.5	138.0	0	632	21
1	633	174.75	139.25	0	633	20
1	634	202.0	139.0	0	634	22
1	635	210.0	138.5	0	635	22
1	636	223.5	139.0	0	636	22
1	637	274.5	139.0	0	637	18
1	638	255.0	140.0	0	638	24
1	639	415.0	140.5	0	639	21
1	640	175.5	140.5	0	640	20
1	641	195.0	141.5	0	641	22
1	642	218.0	141.0	0	642	22
1	643	244.0	141.0	0	643	24
1	644	259.5	141.0	0	644	24
1	645	384.0	141.0	0	645	23
1	646	389.0	141.5	0	646	23
1	647	421.5	141.0	0	647	21
1	648	197.0	142.0	0	648	22
1	649	202.0	142.0	0	649	22
1	650	282.5	142.0	0	650	18
1	651	386.5	142.33333333333334	0	651	23
1	652	406.0	142.0	0	652	21
1	653	244.33333333333334	143.33333333333334	0	653	24
1	654	260.0	143.5	0	654	24
1	655	273.0	143.0	0	655	24
1	656	192.5	143.5	0	656	22
1	657	282.0	144.0	0	657	0
1	658	393.5	144.5	0	658	23
1	659	200.0	145.5	0	659	22
1	660	215.0	145.0	0	660	22
1	661	269.0	145.0	0	661	24
1	662	213.0	146.0	0	662	22
1	663	253.5	146.0	0	663	24
1	664	374.5	146.5	0	664	23
1	665	418.5	146.0	0	665	21
1	666	241.0	147.0	0	666	24
1	667	385.0	147.0	0	667	23
1	668	411.5	147.0	0	668	21
1	669	427.0	147.0	0	669	21
1	670	510.0	147.0	0	670	0
1	671	174.0	148.0	0	671	20
1	672	200.5	148.0	0	672	22
1	673	207.5	148.0	0	673	22
1	674	214.0	148.5	0	674	22
1	675	279.5	148.0	0	675	24
1	676	391.0	148.5	0	676	23
1	677	424.0	148.5	0	677	21
1	678	197.5	149.0	0	678	22
1	679	394.0	149.0	0	679	23
1	680	396.0	148.5	0	680	23
1	681	413.0	149.0	0	681	21
1	682	422.0	149.0	0	682	21
1	683	213.0	150.0	0	683	22
1	684	376.0	150.5	0	684	23
1	685	382.5	150.0	0	685	23
1	686	206.0	151.0	0	686	22
1	687	209.0	151.0	0	687	22
1	688	372.6	150.8	0	688	23
1	689	414.0	151.0	0	689	21
1	690	211.0	152.0	0	690	22
1	691	215.0	152.0	0	691	22
1	692	225.5	152.0	0	692	25
1	693	374.0	152.0	0	693	23
1	694	390.0	152.0	0	694	23
1	695	395.0	152.0	0	695	23
1	696	204.0	153.0	0	696	22
1	697	383.5	152.75	0	697	23
1	698	386.0	153.0	0	698	23
1	699	392.5	153.0	0	699	23
1	700	420.5	153.0	0	700	21
1	701	417.0	154.0	0	701	21
1	702	206.0	155.0	0	702	22
1	703	208.0	154.5	0	703	22
1	704	282.0	155.0	0	704	0
1	705	386.0	155.0	0	705	23
1	706	398.0	155.0	0	706	23
1	707	252.0	156.0	0	707	24
1	708	258.0	156.0	0	708	24
1	709	380.0	156.0	0	709	23
1	710	278.5	157.0	0	710	24
1	711	388.3333333333333	157.33333333333334	0	711	23
1	712	393.0	157.0	0	712	23
1	713	228.0	158.0	0	713	25
1	714	254.5	158.0	0	714	24
1	715	385.3333333333333	158.33333333333334	0	715	23
1	716	396.0	157.5	0	716	23
1	717	219.5	159.5	0	717	25
1	718	231.5	159.0	0	718	25
1	719	251.5	159.0	0	719	24
1	720	260.75	158.0	0	720	24
1	721	275.6666666666667	158.66666666666666	0	721	24
1	722	224.5	160.0	0	722	25
1	723	377.3333333333333	160.33333333333334	0	723	23
1	724	380.0	160.0	0	724	23
1	725	384.0	160.0	0	725	23
